  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      531        0.899        5.154            0      427.156      172.545       99.857
      532        0.399        4.807            0      417.661      143.898      104.787
      533        0.923        4.938            0      414.304      143.913      104.560
      534        0.898        5.006            0      424.054      119.803       97.246
      535        0.499        4.947            0      412.095      135.609       99.494
      536        1.582        4.882            0      412.527      132.778      102.127
      537        0.619        4.814            0      407.686      130.005      101.556
      538        0.614        4.968            0      415.490      146.097       99.295
      539        1.015        4.725            0      401.560      147.986      100.760
      540        0.455        4.707            0      399.709       95.593      101.511
      541        0.508        4.800            0      403.818      123.955      103.223
      542        0.842        4.851            0      426.497      103.864       97.089
      543        0.867        4.786            0      404.286      111.266       99.019
      544        0.827        4.830            0      404.805      112.327       97.357
      545        0.841        4.743            0      402.804      122.557      105.826
      546        1.009        4.822            0      405.833      116.826       95.912
      547        0.682        4.770            0      421.527       94.334       94.517
      548        1.018        4.913            0      430.160       95.255       96.898
      549        0.680        4.763            0      405.779      127.861      100.694
      550        0.781        4.802            0      422.219      122.739       99.831
